⺮	ju<
䍹	xan/
䎃	ram\
䒗	kih>
䓬	jue<
䔢	hua<
䕭	siam<
䕭	tsiam<
䖟	mg<
䖸	e<
䗈	mg<
䗥	zug/
䗪	je>
䗬	fg/
䗶	lah>
䘏	hy>
䘑	mai>
䘚	zu<
䛐	ts<
䛟	cia<
䝓	lie>
䝔	huan/
䞓	txg/
䟆	bih>
䟖	j\
䠀	tag/
䠀	txag\
䠞	tsu>
䠶	xe>
䠷	tiau\
䢺	txu/
䤈	hi/
䥑	mai>
䥥	lian<
䥯	ba>
䦉	s>
䦕	pg/
䩦	tiau<
䫏	ki/
䬃	sa>
䬠	fei/
䬪	bue<
䭾	tue<
䯝	sui\
䰟	hun<
䰾	ba/
䰾魚	ba gy
䲁	ui>
䲔	cig/
䲘	cuan\
䳗	e<
䳘	e<
䳭	ci<
䴈	au\
䴉	huan<
䴉嘴鷸	huan zui yh
䴸	fu/
䵹	j/
䶊	ny>
䶑	ti>
一	hyh\
一	ih/
一一	ih ih
一一對應	ih ih dui ig
一一映射	ih ih ig xe
一丁不識	ih dig bu x
一丁點	ih dig diam
一下	ih hia
一下兒	ih hia r
一下子	ih hia z
一不小心	ih bu siau sim
一世	ih x
一丘之貉	ih kiu j heh
一丟丟	ih diu diu
一並	ih big
一中一台	ih jug ih tai
一中原則	ih jug gyan zeh
一之為甚	ih j ui xm
一之謂甚	ih j ui xm
一乾二淨	ih can er zig
一了百了	ih liau baih liau
一事無成	ih x u txg
一二	ih er
一二九運動	ih er ciu yn dug
一二八事變	ih er bah x bian
一五一十	ih gu ih xh
一些	ih sie
一介不取	ih cie bu tsy
一代	ih dai
一代不如一代	ih dai bu ru ih dai
一以貫之	ih i cuan j
一併	ih big
一來	ih lai
一來二去	ih lai er ky
一個	ih ce
一個中國政策	ih ce jug cueh jg tseh
一個人	ih ce rn
一個個	ih ce ce
一個勁	ih ce cin
一個勁兒	ih ce cin r
一個半	ih ce ban
一個將軍一個令	ih ce ziag cyn ih ce lig
一個巴掌拍不響	ih ce ba jag paih bu hiag
一個接一個	ih ce zieh ih ce
一個樣	ih ce iag
一個蘿蔔一個坑	ih ce lue bueh ih ce kg
一個頭兩個大	ih ce teu liag ce da
一倡三歎	ih txag sam tan
一側化	ih tseh hua
一價	ih cia
一元	ih gyan
一元化	ih gyan hua
一元復始	ih gyan fu x
一元論	ih gyan lun
一元醇	ih gyan txun
一共	ih cug
一再	ih zai
一准	ih jun
一刀兩斷	ih dau liag duan
一刀切	ih dau tsie
一分一毫	ih fn ih hau
一分為二	ih fn ui er
一分熟	ih fn xuh
一分錢一分貨	ih fn tsian ih fn hue
一分錢兩分貨	ih fn tsian liag fn hue
一切	ih tsie
一切向錢看	ih tsie hiag tsian kan
一切如舊	ih tsie ru ciu
一切就緒	ih tsie ziu sy
一切險	ih tsie hiam
一刻千金	ih keh tsian cim
一則	ih zeh
一剎那	ih txa na
一動不動	ih dug bu dug
一勞永逸	ih lau yg ih
一匙	ih tx
一千零一夜	ih tsian lig ih ie
一半	ih ban
一半天	ih ban tian
一卡通	ih ka tug
一去不回	ih ky bu hui
一去不復返	ih ky bu fu fan
一去無影蹤	ih ky u ig zug
一反常態	ih fan txag tai
一反往常	ih fan uag txag
一口	ih keu
一口價	ih keu cia
一口吃不成胖子	ih keu txh bu txg pag z
一口吃個胖子	ih keu txh ce pag z
一口咬定	ih keu iau dig
一口氣	ih keu ki
一口氣兒	ih keu ki r
一古腦兒	ih cu nau r
一句	ih cy
一句話	ih cy hua
一同	ih tug
一吐為快	ih tu ui kuai
一向	ih hiag
一周	ih jeu
一味	ih ui
一呼百應	ih hu baih ig
一呼百諾	ih hu baih nueh
一命嗚呼	ih mig u hu
一命歸天	ih mig cui tian
一命歸西	ih mig cui si
一命歸陰	ih mig cui im
一品	ih pim
一品紅	ih pim hug
一品鍋	ih pim cue
一哄而散	ih hug er san
一哄而起	ih hug er ki
一員	ih yan
一哭二鬧三上吊	ih kuh er nau sam xag diau
一唱一和	ih txag ih he
一唱三嘆	ih txag sam tan
一問三不知	ih un sam bu j
一回事	ih hui x
一回生二回熟	ih hui xg er hui xuh
一回生兩回熟	ih hui xg liag hui xuh
一國兩制	ih cueh liag j
一團亂糟	ih tuan luan zau
一團和氣	ih tuan he ki
一團漆黑	ih tuan tsih heih
一團火	ih tuan hue
一團糟	ih tuan zau
一堆	ih dui
一場空	ih txag kug
一塊	ih kuai
一塊兒	ih kuai r
一塌糊塗	ih ta hu tu
一塵不染	ih txn bu ram
一壁	ih bih
一壁廂	ih bih siag
一夔已足	ih kui i zu
一夕	ih sih
一夕數驚	ih sih xu cig
一多對應	ih due dui ig
一夜之間	ih ie j cian
一夜情	ih ie tsig
一夜無眠	ih ie u mian
一夜爆紅	ih ie bau hug
一夜露水	ih ie lu xui
一大早	ih da zau
一大早兒	ih da zau r
一天一個樣	ih tian ih ce iag
一天到晚	ih tian dau uan
一夫一妻	ih fu ih tsi
一夫多妻	ih fu due tsi
一失足成千古恨	ih xh zu txg tsian cu hn
一套	ih tau
一如	ih ru
一如往常	ih ru uag txag
一如所料	ih ru sue liau
一如既往	ih ru ci uag
一妻制	ih tsi j
一孔之見	ih kug j cian
一字	ih z
一字一淚	ih z ih lei
一字不差	ih z bu txa
一字不提	ih z bu ti
一字不漏	ih z bu leu
一字不落	ih z bu lah
一字不識	ih z bu x
一字之師	ih z j x
一字兒	ih z r
一字千金	ih z tsian cim
一字巾	ih z cin
一字縱隊	ih z zug dui
一字褒貶	ih z bau biam
一學就會	ih hyeh ziu hui
一定	ih dig
一定要	ih dig iau
一家	ih cia
一家之主	ih cia j ju
一家人	ih cia rn
一家人不說兩家話	ih cia rn bu xue liag cia hua
一家子	ih cia z
一審	ih xm
一寸光陰一寸金	ih tsun cuag im ih tsun cim
一對	ih dui
一對一	ih dui ih
一對一鬥牛	ih dui ih deu niu
一對兒	ih dui r
一小撮	ih siau tsueh
一小部分	ih siau bu fn
一小陣兒	ih siau jn r
一展身手	ih jan xn xeu
一層	ih tsg
一山不容二虎	ih xan bu rug er hu
一己	ih ci
一帆風順	ih fam fg xun
一席之地	ih sih j di
一席話	ih sih hua
一帶	ih dai
一帶一路	ih dai ih lu
一帶而過	ih dai er cue
一年之計在於春	ih nian j ci zai y txun
一年到頭	ih nian dau teu
一年半	ih nian ban
一年半載	ih nian ban zai
一年四季	ih nian s ci
一年多	ih nian due
一年期	ih nian ki
一年生	ih nian xg
一度	ih du
一廂情願	ih siag tsig gyan
一式二份	ih xh er fn
一彈指頃	ih tan j kig
一往情深	ih uag tsig xm
一往無前	ih uag u tsian
一往直前	ih uag jh tsian
一律	ih lyh
一徑	ih cig
一心	ih sim
一心一德	ih sim ih deh
一心一意	ih sim ih i
一心二用	ih sim er yg
一心多用	ih sim due yg
一念之差	ih niam j txa
一意	ih i
一意孤行	ih i cu hig
一應	ih ig
一應俱全	ih ig cy tsyan
一成不變	ih txg bu bian
一戰	ih jan
一房一廳	ih fag ih tig
一手	ih xeu
一手包辦	ih xeu bau ban
一手遮天	ih xeu je tian
一打	ih da
一技之長	ih ci j txag
一把好手	ih ba hau xeu
一把屎一把尿	ih ba x ih ba niau
一把年紀	ih ba nian ci
一把手	ih ba xeu
一把抓	ih ba jua
一把死拿	ih ba s na
一把眼淚一把鼻涕	ih ba gian lei ih ba bi ti
一把鑰匙開一把鎖	ih ba iauh x kai ih ba sue
一抓一大把	ih jua ih da ba
一折兩段	ih je liag duan
一抿子	ih min z
一拍兩散	ih paih liag san
一拍即合	ih paih zih heh
一掃而光	ih sau er cuag
一掃而空	ih sau er kug
一排	ih pai
一探究竟	ih tam ciu cig
一推六二五	ih tui liuh er gu
一掬同情之淚	ih cyh tug tsig j lei
一揮而就	ih hui er ziu
一撥兒	ih bueh r
一擁而上	ih yg er xag
一擁而入	ih yg er ruh
一擊入洞	ih cih ruh dug
一擲千金	ih jh tsian cim
一攬子	ih lam z
一改再改	ih cai zai cai
一改故轍	ih cai cu jeh
一敗塗地	ih bai tu di
一文不值	ih un bu j
一文不名	ih un bu mig
一斑	ih ban
一方	ih fag
一方面	ih fag mian
一旁	ih pag
一族	ih zuh
一日三秋	ih rh sam tsiu
一日三餐	ih rh sam tsan
一日不如一日	ih rh bu ru ih rh
一日之計在於晨	ih rh j ci zai y txn
一日之雅	ih rh j gia
一日千里	ih rh tsian li
一旦	ih dan
一早	ih zau
一星半點	ih sig ban diam
一時	ih x
一時半刻	ih x ban keh
一時半晌	ih x ban xag
一時半會	ih x ban hui
一時半會兒	ih x ban hui r
一時半霎	ih x ban xah
一時瑜亮	ih x y liag
一時間	ih x cian
一晃	ih huag
一暴十寒	ih pu xh han
一曝十寒	ih pu xh han
一更	ih cg
一會	ih hui
一會兒	ih hui r
一月	ih gyeh
一月份	ih gyeh fn
一望無垠	ih uag u gin
一望無際	ih uag u zi
一望而知	ih uag er j
一朝一夕	ih jau ih sih
一朝天子一朝臣	ih txau tian z ih txau txn
一木難支	ih muh nan j
一本正經	ih bn jg cig
一本萬利	ih bn uan li
一杯羹	ih bei cg
一東一西	ih dug ih si
一板一眼	ih ban ih gian
一板三眼	ih ban sam gian
一枝獨秀	ih j duh siu
一柱擎天	ih ju kig tian
一根筋	ih cn cin
一根繩上的螞蚱	ih cn xg xag deh ma jah
一桿進洞	ih can zin dug
一條心	ih tiau sim
一條繩上的螞蚱	ih tiau xg xag deh ma jah
一條路走到黑	ih tiau lu zeu dau heih
一條道走到黑	ih tiau dau zeu dau heih
一條龍	ih tiau lug
一條龍服務	ih tiau lug fuh u
一棍子打死	ih cun z da s
一概	ih cai
一概而論	ih cai er lun
一槌定音	ih txui dig im
一槍命中	ih tsiag mig jug
一模一樣	ih mu ih iag
一樣	ih iag
一次	ih ts
一次函數	ih ts ham xu
一次又一次	ih ts iu ih ts
一次性	ih ts sig
一次方程	ih ts fag txg
一次方程式	ih ts fag txg xh
一次總付	ih ts zug fu
一步一個腳印	ih bu ih ce ciauh in
一步一趨	ih bu ih tsy
一步到位	ih bu dau ui
一步登天	ih bu dg tian
一步裙	ih bu kyn
一毛不拔	ih mau bu bah
一氣	ih ki
一氣之下	ih ki j hia
一氣呵成	ih ki he txg
一氧化二氮	ih iag hua er dan
一氧化氮	ih iag hua dan
一氧化碳	ih iag hua tan
一水兒	ih xui r
一決雌雄	ih cyeh ts hyg
一波三折	ih bue sam je
一派胡言	ih pai hu gian
一派謊言	ih pai huag gian
一流	ih liu
一清二楚	ih tsig er txu
一清二白	ih tsig er baih
一清如水	ih tsig ru xui
一清早	ih tsig zau
一準	ih jun
一溜煙	ih liu ian
一潭死水	ih tam s xui
一炮打響	ih pau da hiag
一炮而紅	ih pau er hug
一無所動	ih u sue dug
一無所有	ih u sue iu
一無所獲	ih u sue hueh
一無所知	ih u sue j
一無所聞	ih u sue un
一無所長	ih u sue txag
一無是處	ih u x txu
一物降一物	ih uh hiag ih uh
一犯再犯	ih fam zai fam
一琴一鶴	ih kim ih heh
一生	ih xg
一生一世	ih xg ih x
一甲	ih ciah
一甲子	ih ciah z
一男半女	ih nam ban ny
一畝三分地	ih mu sam fn di
一病不起	ih big bu ki
一瘸一拐	ih kye ih cuai
一發不可收拾	ih fah bu ke xeu xh
一發而不可收	ih fah er bu ke xeu
一百一	ih baih ih
一盤散沙	ih pan san xa
一盤棋	ih pan ki
一目了然	ih muh liau ran
一目十行	ih muh xh hag
一目瞭然	ih muh liau ran
一直	ih jh
一直以來	ih jh i lai
一相情願	ih siag tsig gyan
一眨眼	ih jah gian
一眼	ih gian
一眼望去	ih gian uag ky
一眼看穿	ih gian kan txuan
一睹	ih du
一瞥	ih pieh
一瞬	ih xun
一瞬間	ih xun cian
一矢中的	ih x jug dih
一知半解	ih j ban cie
一石二鳥	ih xh er niau
一碗水端平	ih uan xui duan pig
一神教	ih xn ciau
一神論	ih xn lun
一秉虔誠	ih big kian txg
一秘	ih mi
一種	ih jug
一空	ih kug
一窩蜂	ih ue fg
一窮二白	ih kyg er baih
一窺端倪	ih kui duan ni
一竅不通	ih kiau bu tug
一站式	ih jam xh
一笑了之	ih hiau liau j
一笑置之	ih hiau j j
一筆不苟	ih bih bu ceu
一筆勾銷	ih bih ceu siau
一筆帶過	ih bih dai cue
一筆抹殺	ih bih mueh xa
一筆抹煞	ih bih mueh xah
一等	ih dg
一等獎	ih dg ziag
一箭之仇	ih zian j txeu
一箭雙鵰	ih zian xuag diau
一節詩	ih zieh x
一籌莫展	ih txeu mueh jan
一籮筐	ih lue kuag
一粒老鼠屎壞了一鍋粥	ih lih lau xu x huai le ih cue jeuh
一系列	ih hi lie
一紙空文	ih j kug un
一級	ih cih
一級士官	ih cih x cuan
一級方程式	ih cih fag txg xh
一級棒	ih cih bag
一級頭	ih cih teu
一統	ih tug
一絲一毫	ih s ih hau
一絲不掛	ih s bu cua
一絲不苟	ih s bu ceu
一經	ih cig
一維	ih ui
一網打盡	ih uag da zin
一線	ih sian
一線之間	ih sian j cian
一線之隔	ih sian j ceh
一線希望	ih sian hi uag
一線微光	ih sian ui cuag
一線生機	ih sian xg ci
一總	ih zug
一聲	ih xg
一聲不吭	ih xg bu kg
一聲不響	ih xg bu hiag
一肚子	ih du z
一肚皮	ih du pi
一股子	ih cu z
一股清流	ih cu tsig liu
一股腦	ih cu nau
一股腦兒	ih cu nau r
一胎制	ih tai j
一胎化	ih tai hua
一脈相承	ih maih siag txg
一腔	ih kiag
一臉茫然	ih liam mag ran
一致	ih j
一致字	ih j z
一致性	ih j sig
一致性效應	ih j sig hiau ig
一致資源定址器	ih j z gyan dig j ki
一舉	ih cy
一舉一動	ih cy ih dug
一舉兩得	ih cy liag deh
一舉成功	ih cy txg cug
一舉手一投足	ih cy xeu ih teu zu
一般	ih ban
一般人	ih ban rn
一般來說	ih ban lai xue
一般來講	ih ban lai ciag
一般原則	ih ban gyan zeh
一般性	ih ban sig
一般而言	ih ban er gian
一般般	ih ban ban
一般見識	ih ban cian x
一般規定	ih ban cui dig
一般說來	ih ban xue lai
一般貿易	ih ban mau i
一落千丈	ih lueh tsian jag
一葉知秋	ih ieh j tsiu
一葉障目	ih ieh jag muh
一號	ih hau
一號木桿	ih hau muh can
一號電池	ih hau dian tx
一血	ih hyeh
一行	ih hig
一衣帶水	ih i dai xui
一襲	ih sih
一見傾心	ih cian kig sim
一見如故	ih cian ru cu
一見鍾情	ih cian jug tsig
一見高低	ih cian cau di
一視同仁	ih x tug rn
一親芳澤	ih tsin fag zeh
一覺醒來	ih ciau sig lai
一覽	ih lam
一覽無遺	ih lam u i
一覽無餘	ih lam u y
一覽眾山小	ih lam jug xan siau
一覽表	ih lam biau
一角鯨	ih ciauh cig
一觸即潰	ih txuh zih kui
一觸即發	ih txuh zih fah
一言	ih gian
一言一動	ih gian ih dug
一言一行	ih gian ih hig
一言不合	ih gian bu heh
一言不發	ih gian bu fah
一言九鼎	ih gian ciu dig
一言以蔽之	ih gian i bi j
一言千金	ih gian tsian cim
一言堂	ih gian tag
一言抄百總	ih gian txau baih zug
一言為定	ih gian ui dig
一言為重	ih gian ui jug
一言難盡	ih gian nan zin
一語不發	ih gy bu fah
一語中的	ih gy jug dih
一語成讖	ih gy txg txm
一語破的	ih gy pue dih
一語道破	ih gy dau pue
一語雙關	ih gy xuag cuan
一說	ih xue
一諾千金	ih nueh tsian cim
一貧如洗	ih pin ru si
一貫	ih cuan
一走了之	ih zeu liau j
一起	ih ki
一路	ih lu
一路上	ih lu xag
一路來	ih lu lai
一路平安	ih lu pig an
一路貨	ih lu hue
一路貨色	ih lu hue seh
一路順風	ih lu xun fg
一路風塵	ih lu fg txn
一蹴即至	ih tsuh zih j
一蹴可幾	ih tsuh ke ci
一蹴而就	ih tsuh er ziu
一蹴而得	ih tsuh er deh
一蹶不振	ih cye bu jn
一躍而起	ih yeh er ki
一身	ih xn
一身兩役	ih xn liag ih
一身是膽	ih xn x dam
一身汗	ih xn han
一較高下	ih ciau cau hia
一輩子	ih bei z
一輪	ih lun
一轉眼	ih juan gian
一辭莫贊	ih ts mueh zan
一退六二五	ih tui liuh er gu
一通百通	ih tug baih tug
一逞獸欲	ih txg xeu yh
一連	ih lian
一連串	ih lian txuan
一遍	ih bian
一遍又一遍	ih bian iu ih bian
一過性	ih cue sig
一道	ih dau
一遞一個	ih di ih ce
一遞一聲	ih di ih xg
一邊	ih bian
一邊倒	ih bian dau
一部分	ih bu fn
一醉方休	ih zui fag hiu
一針見血	ih jm cian hieh
一錘子買賣	ih txui z mai mai
一錘定音	ih txui dig im
一錢不值	ih tsian bu j
一錢如命	ih tsian ru mig
一錯再錯	ih tsue zai tsue
一鍋端	ih cue duan
一鍋粥	ih cue jeuh
一長一短	ih txag ih duan
一門式	ih mn xh
一門心思	ih mn sim s
一閃念	ih xam niam
一閃而過	ih xam er cue
一陣	ih jn
一陣子	ih jn z
一雨成秋	ih y txg tsiu
一雪前恥	ih syeh tsian tx
一霎	ih xah
一霎時	ih xah x
一霎眼	ih xah gian
一霎間	ih xah cian
一靈真性	ih lig jn sig
一面	ih mian
一面之交	ih mian j ciau
一面之詞	ih mian j ts
一面倒	ih mian dau
一頭	ih teu
一頭栽進	ih teu zai zin
一頭熱	ih teu reh
一頭霧水	ih teu u xui
一顆老鼠屎壞了一鍋湯	ih ke lau xu x huai le ih cue tag
一顆老鼠屎壞了一鍋粥	ih ke lau xu x huai le ih cue jeuh
一類	ih lei
一類保護動物	ih lei bau hu dug uh
一顰一笑	ih pin ih hiau
一飲而盡	ih im er zin
一飽眼福	ih bau gian fu
一馬勺壞一鍋	ih ma xauh huai ih cue
一馬平川	ih ma pig txuan
一馬當先	ih ma dag sian
一騎絕塵	ih ki zyeh txn
一驚一乍	ih cig ih ja
一骨碌	ih cuh luh
一體	ih ti
一體兩面	ih ti liag mian
一體化	ih ti hua
一鬨而散	ih hug er san
一鱗半爪	ih lin ban jau
一鳴驚人	ih mig cig rn
一黑早	ih heih zau
一點	ih diam
一點一滴	ih diam ih dih
一點一點	ih diam ih diam
一點不	ih diam bu
一點兒	ih diam r
一點就通	ih diam ziu tug
一點水一個泡	ih diam xui ih ce pau
一點點	ih diam diam
一黨	ih dag
一黨專制	ih dag juan j
一鼓作氣	ih cu zue ki
一鼻孔出氣	ih bi kug txu ki
一齊	ih tsi
丁	dig/
丁	hui>
丁	jg/
丁丁	dig dig
丁丁	jg jg
丁丁炒麵	dig dig txau mian
丁丑	dig txeu
丁二烯	dig er hi
丁二醇	dig er txun
丁亥	dig hai
丁克	dig keh
丁內酯	dig nei j
丁冬	dig dug
丁加奴	dig cia nu
丁卯	dig mau
丁卯戰爭	dig mau jan jg
丁卯胡亂	dig mau hu luan
丁型肝炎	dig hig can iam
丁基	dig ci
丁夫	dig fu
丁字	dig z
丁字尺	dig z txh
丁字梁	dig z liag
丁字步	dig z bu
丁字街	dig z cie
丁字褲	dig z ku
丁字鎬	dig z cau
丁客	dig keh
丁寧	dig nig
丁寵家庭	dig txug cia tig
丁巳	dig s
丁巳復辟	dig s fu bih
丁憂	dig iu
丁未	dig ui
丁格犬	dig ceh kyan
丁汝昌	dig ru txag
丁烯	dig hi
丁烷	dig uan
丁玲	dig lig
丁磊	dig lei
丁糖	dig tag
丁肇中	dig jau jug
丁艱	dig cian
丁酉	dig iu
丁醇	dig txun
丁醛	dig kyan
丁零噹啷	dig lig dag lag
丁韙良	dig ui liag
丁香	dig hiag
丁骨牛排	dig cuh niu pai
丁鯛	dig diau
丁鱥	dig cui
丁點	dig diam
丂	kau\
七	tsih/
七七事變	tsih tsih x bian
七七八八	tsih tsih bah bah
七上八下	tsih xag bah hia
七上八落	tsih xag bah lueh
七事	tsih x
七分之一	tsih fn j ih
七分熟	tsih fn xuh
七十	tsih xh
七十七國集團	tsih xh tsih cueh zih tuan
七十年代	tsih xh nian dai
七和弦	tsih he hian
七喜	tsih hi
七嘴八張	tsih zui bah jag
七嘴八舌	tsih zui bah xeh
七國集團	tsih cueh zih tuan
七堵	tsih du
七堵區	tsih du ky
七夕	tsih sih
七夕節	tsih sih zieh
七大姑八大姨	tsih da cu bah da i
七大工業國集團	tsih da cug gieh cueh zih tuan
七姊妹星團	tsih z mei sig tuan
七孔	tsih kug
七巧板	tsih kiau ban
七帶石斑魚	tsih dai xh ban gy
七年之癢	tsih nian j iag
七弦琴	tsih hian kim
七彎八拐	tsih uan bah cuai
七彩	tsih tsai
七律	tsih lyh
七情	tsih tsig
七情六欲	tsih tsig liuh yh
七手八腳	tsih xeu bah ciauh
七扭八歪	tsih niu bah uai
七折八扣	tsih je bah keu
七拼八湊	tsih pin bah tseu
七政四餘	tsih jg s y
七方	tsih fag
七日熱	tsih rh reh
七旬老人	tsih syn lau rn
七星	tsih sig
七星區	tsih sig ky
七星瓢蟲	tsih sig piau txug
七曜	tsih iau
七月	tsih gyeh
七月份	tsih gyeh fn
七武士	tsih u x
七河州	tsih he jeu
七灣八拐	tsih uan bah cuai
七爺八爺	tsih ie bah ie
七碳糖	tsih tan tag
七竅	tsih kiau
七竅生煙	tsih kiau xg ian
七級浮屠	tsih cih fu tu
七美	tsih mei
七美鄉	tsih mei hiag
七老八十	tsih lau bah xh
七聲	tsih xg
七聲音階	tsih xg im cie
七臺河	tsih tai he
七臺河市	tsih tai he x
七葉樹	tsih ieh xu
七葷八素	tsih hun bah su
七號電池	tsih hau dian tx
七角形	tsih ciauh hig
七言律詩	tsih gian lyh x
七邊形	tsih bian hig
七里河	tsih li he
七里河區	tsih li he ky
七里香	tsih li hiag
七零八碎	tsih lig bah sui
七零八落	tsih lig bah lueh
七項全能	tsih hiag tsyan ng
七魄	tsih pueh
七鰓鰻	tsih sai man
七龍珠	tsih lug ju
丄	xag>
丅	hia>
万	mue>
万	uan>
万俟	mue ki
丈	iu<
丈	jag>
丈二金剛摸不著頭腦	jag er cim cag mue bu jau teu nau
丈人	jag rn
丈八蛇矛	jag bah xe mau
丈夫	jag fu
丈母	jag mu
丈母娘	jag mu niag
丈量	jag liag
三	sam/
三	tui<
三七	sam tsih
三七二十一	sam tsih er xh ih
三七仔	sam tsih z
三七開	sam tsih kai
三七開定論	sam tsih kai dig lun
三三兩兩	sam sam liag liag
三下五除二	sam hia gu txu er
三下兩下	sam hia liag hia
三不	sam bu
三不五時	sam bu gu x
三不朽	sam bu hiu
三不沾	sam bu jam
三不知	sam bu j
三不管	sam bu cuan
三世	sam x
三中全會	sam jug tsyan hui
三九天	sam ciu tian
三五	sam gu
三五成群	sam gu txg kyn
三井	sam zig
三亞	sam ia
三亞市	sam ia x
三人成虎	sam rn txg hu
三人行	sam rn hig
三仇	sam txeu
三代	sam dai
三代同堂	sam dai tug tag
三令五申	sam lig gu xn
三件套式西裝	sam cian tau xh si juag
三伏	sam fu
三伏天	sam fu tian
三位一體	sam ui ih ti
三位博士	sam ui bueh x
三俠五義	sam hiah gu gi
三個世界	sam ce x cie
三個代表	sam ce dai biau
三個和尚沒水吃	sam ce he xag mei xui txh
三個和尚沒水喝	sam ce he xag mei xui he
三個女人一個墟	sam ce ny rn ih ce hy
三個女人一臺戲	sam ce ny rn ih tai hi
三倍	sam bei
三催四請	sam tsui s tsig
三價	sam cia
三元	sam gyan
三元區	sam gyan ky
三元醇	sam gyan txun
三元音	sam gyan im
三光	sam cuag
三光政策	sam cuag jg tseh
三兩	sam liag
三八	sam bah
三八大蓋	sam bah da cai
三八節	sam bah zieh
三八線	sam bah sian
三公消費	sam cug siau fei
三公經費	sam cug cig fei
三分	sam fn
三分之一	sam fn j ih
三分熟	sam fn xuh
三分球	sam fn kiu
三分鐘熱度	sam fn jug reh du
三分頭	sam fn teu
三包	sam bau
三北	sam beih
三北防護林	sam beih fag hu lim
三十	sam xh
三十二位元	sam xh er ui gyan
三十二相	sam xh er siag
三十八度線	sam xh bah du sian
三十六字母	sam xh liuh z mu
三十六計	sam xh liuh ci
三十而立	sam xh er lih
三千大千世界	sam tsian da tsian x cie
三原	sam gyan
三原縣	sam gyan hian
三叉戟	sam txa cih
三叉神經	sam txa xn cig
三反	sam fan
三反運動	sam fan yn dug
三句話不離本行	sam cy hua bu li bn hag
三台	sam tai
三台縣	sam tai hian
三合一	sam heh ih
三合一疫苗	sam heh ih ih miau
三合土	sam heh tu
三合星	sam heh sig
三合會	sam heh hui
三合院	sam heh yan
三味線	sam ui sian
三和弦	sam he hian
三國	sam cueh
三國史記	sam cueh x ci
三國志	sam cueh j
三國演義	sam cueh ian gi
三圍	sam ui
三地門	sam di mn
三地門鄉	sam di mn hiag
三大紀律八項注意	sam da ci lyh bah hiag ju i
三天兩頭	sam tian liag teu
三夷教	sam i ciau
三姑六婆	sam cu liuh pue
三字經	sam z cig
三官大帝	sam cuan da di
三家村	sam cia tsun
三寶	sam bau
三寶太監	sam bau tai ciam
三寶鳥	sam bau niau
三寸不爛之舌	sam tsun bu lan j xeh
三寸金蓮	sam tsun cim lian
三對三鬥牛	sam dui sam deu niu
三小	sam siau
三尖杉酯鹼	sam ziam xam j ciam
三屜桌	sam ti jueh
三岔口	sam txa keu
三島由紀夫	sam dau iu ci fu
三峽	sam hiah
三峽大壩	sam hiah da ba
三峽水庫	sam hiah xui ku
三峽鎮	sam hiah jn
三度	sam du
三廂	sam siag
